Shear rate (s-1),Viscosity (mPa.s),Measurement,Instrument,InstrumentName,Act of Measuring
,,,,,
s-1,mPa.s,,,,
,,,,,
1.2169,12172,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se01
1.6925,13446,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se02
2.2641,14287,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se03
2.8484,14277,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se04
3.5568,14161,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se05
4.2041,13295,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se06
4.9042,12319,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se07
5.3423,10659,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se08
5.9719,9464.9,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se09
6.8888,8672.5,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se10
8.3657,8365.8,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se11
10.33,8205.1,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se12
10.439,6586.5,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se13
11.961,5994.9,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se14
14.204,5654.6,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se15
15.592,4930.8,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se16
16.647,4181.5,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se17
19.359,3862.6,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se18
22.304,3535,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se19
26.858,3381.2,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se20
30.337,3033.8,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se21
34.773,2762.2,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se22
39.849,2514.4,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se23
45.412,2276,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se24
50.152,1996.6,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se25
58.48,1849.3,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se26
65.909,1655.6,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se27
73.556,1467.6,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se28
87.887,1392.9,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se29
104.3,1313,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se30
119.92,1199.2,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se31
137.99,1096.1,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se32
155.14,978.89,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se33
167.13,837.67,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se34
180.98,720.49,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se35
173.55,548.8,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se36
185.41,465.74,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se37
222.3,443.54,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se38
267.25,423.57,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se39
315.09,396.67,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se40
369.78,369.77,for10001_mn01,to80001,"Anton Paar MCR 702e Space (PP25/S geometry, P-PTD200 temperature unit, CORIO CP-200F circulator)",for10001_mn01_to80001_se41